sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN05444287	Octadecabacter temperatus	99.982	1458307	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter temperatus
SAMN00713617	Tepidanaerobacter acetatoxydans	99.984	499229	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Tepidanaerobacter	Tepidanaerobacter acetatoxydans
SAMN02598491	Fibrobacter succinogenes	99.985	833	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes
SAMN07451160	Deinococcus radiodurans	99.985	1299	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans
SAMN09227124	Halomonas elongata	99.987	2746	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas elongata
SAMN08470029	Devosia sp. I507	99.988	2083786	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia sp. I507
SAMN09088054	Mycolicibacterium smegmatis	99.989	1772	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
SAMN08769264	Acholeplasma laidlawii	99.989	2148	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii
SAMN00777080	Aquiflexum balticum	99.989	280473	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Aquiflexum	Aquiflexum balticum
SAMN01797702	Pleurocapsa minor	99.99	54308	Cyanobacteria		Pleurocapsales	Hyellaceae	Pleurocapsa	Pleurocapsa minor
SAMN00025417	Mesotoga prima	99.99	1184387	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	Mesotoga prima
SAMN06451438	Dehalococcoides mccartyi	99.991	61435	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
SAMEA4523478	Lachnoclostridium phytofermentans	99.992	66219	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium phytofermentans
SAMN07946442	Corynebacterium diphtheriae	99.997	1717	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
SAMN06754984	Marinomonas mediterranea	99.997	119864	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas mediterranea
SAMN05444285	Draconibacterium orientale	99.997	1168034	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Draconibacterium	Draconibacterium orientale
